size, procs, static_mean
45000,1,60.714821,
45000,2,30.391650,
45000,4,21.491054,
45000,6,15.699820,
45000,8,13.053644,
45000,10,11.069584,
45000,12,9.863361,
45000,14,8.921365,
45000,16,6.675394,
45000,18,7.965815,
45000,20,5.771384,
45000,22,7.328472,
45000,24,5.907093,
45000,26,5.567118,
45000,28,5.381568,
45000,30,5.281545,
45000,32,4.341188,
45000,34,4.423244,
45000,36,4.039275,
45000,38,3.984114,
45000,40,4.285465,
45000,42,4.028018,
45000,44,4.154370,
45000,46,4.169571,
45000,48,3.598960,
