size, procs, static_mean
15000,1,
15000,2,
15000,4,
15000,6,
15000,8,
15000,10,
15000,12,
15000,14,
15000,16,
15000,18,
15000,20,
15000,22,
15000,24,
15000,26,
15000,28,
15000,30,
15000,32,
15000,34,
15000,36,
15000,38,
15000,40,
15000,42,
15000,44,
15000,46,
15000,48,
25000,1,
25000,2,
25000,4,
25000,6,
25000,8,
25000,10,
25000,12,
25000,14,
25000,16,
25000,18,
25000,20,
25000,22,
25000,24,
25000,26,
25000,28,
25000,30,
25000,32,
25000,34,
25000,36,
25000,38,
25000,40,
25000,42,
25000,44,
25000,46,
25000,48,
35000,1,
35000,2,
35000,4,
35000,6,
35000,8,
35000,10,
35000,12,
35000,14,
35000,16,
35000,18,
35000,20,
35000,22,
35000,24,
35000,26,
35000,28,
35000,30,
35000,32,
35000,34,
35000,36,
35000,38,
35000,40,
35000,42,
35000,44,
35000,46,
35000,48,
45000,1,
45000,2,
45000,4,
45000,6,
45000,8,
45000,10,
45000,12,
45000,14,
45000,16,
45000,18,
45000,20,
45000,22,
45000,24,
45000,26,
45000,28,
45000,30,
45000,32,
45000,34,
45000,36,
45000,38,
45000,40,
45000,42,
45000,44,
45000,46,
45000,48,
