threads_per_socket, static_mean
1,21.349880,
2,10.846334,
3,7.364331,
4,5.586159,
5,4.536563,
6,3.830998,
7,3.316164,
8,2.935514,
9,2.638506,
10,2.409195,
11,2.200199,
12,2.052815,
1,11.365052,
2,5.858214,
3,4.050605,
4,3.161982,
5,2.583726,
6,2.222982,
7,1.957851,
8,1.769840,
9,1.631798,
10,1.508185,
11,1.388947,
12,1.330742,
1,7.894921,
2,4.176665,
3,3.057276,
4,2.438322,
5,2.118105,
6,1.848298,
7,1.663950,
8,1.509148,
9,1.394152,
10,1.319947,
11,1.234902,
12,1.182376,
1,6.078794,
2,3.354654,
3,2.412903,
4,1.943580,
5,1.659434,
6,1.489780,
7,1.363836,
8,1.236221,
9,1.148048,
10,1.102587,
11,1.047865,
12,1.064367,
