matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.014908,0.004411,1130.187925,194.333738
3000,0.042221,0.006209,1300.377602,146.660087
4000,0.120207,0.004649,1066.345043,39.158836
5000,0.279424,0.069478,962.356936,273.176901
6000,0.387364,0.111528,1192.089585,270.727910
7000,0.596808,0.172039,1236.727606,309.034288
8000,0.802863,0.239475,1365.943354,306.422365
9000,1.053009,0.302481,1471.630694,308.487933
10000,1.396865,0.370258,1505.235500,282.799229
11000,2.003434,0.559579,1395.360598,242.598863
12000,2.253074,0.518919,1590.503899,249.670626
13000,2.751013,0.620199,1652.197995,246.650935
14000,3.777349,1.197500,1568.444941,368.258162
15000,4.495779,1.203981,1579.180773,293.353687
16000,4.929214,0.821613,1695.840182,204.689318
17000,6.010388,1.417177,1693.303387,248.843869
18000,6.819964,0.943705,1734.903972,178.416836
19000,8.642754,1.780784,1644.204336,277.796875
20000,10.457862,2.961727,1620.977182,322.556802
