matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.007291,0.004596,2597.354084,663.628515
3000,0.019951,0.005505,2833.418563,462.341373
4000,0.042734,0.005721,3036.174850,306.465425
5000,0.083207,0.007156,3022.934305,213.823687
6000,0.176261,0.009414,2457.631296,125.998828
7000,0.350629,0.099082,2127.910129,611.740462
8000,0.439788,0.180223,2666.923175,832.391367
9000,0.597204,0.217458,2695.418566,713.301014
10000,0.696268,0.231253,3069.344446,608.406879
11000,0.978822,0.295390,2899.241997,603.555101
12000,1.175604,0.342671,3109.203223,593.320663
13000,1.368509,0.363810,3356.358661,553.254086
14000,1.771408,0.444281,3230.851609,539.296385
15000,2.130675,0.534788,3302.080941,542.566587
16000,2.791473,0.972287,3189.173172,736.781707
17000,3.248238,1.128505,3278.976224,735.728883
18000,3.480450,0.700426,3446.054089,474.759478
19000,4.355225,1.168136,3304.735430,586.941800
20000,4.691565,0.880612,3493.754528,445.892265
