matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.023569,0.004371,695.148240,88.133904
3000,0.060036,0.007911,913.557360,108.085388
4000,0.173409,0.013910,742.564468,55.458824
5000,0.321705,0.090602,851.388269,265.637915
6000,0.498166,0.165280,956.715361,275.247653
7000,0.742405,0.238388,998.082636,235.387349
8000,1.051124,0.306676,1037.142612,220.586396
9000,1.409429,0.359580,1081.175231,186.539494
10000,1.849890,0.493212,1130.771417,188.793758
11000,2.356824,0.628596,1181.006002,195.508074
12000,2.935777,0.772334,1229.756916,201.857448
13000,3.690172,0.933417,1239.848069,195.712942
14000,4.714801,1.608885,1254.355853,271.050574
15000,6.009443,2.273406,1238.548787,308.557277
16000,6.043680,1.212798,1396.095360,205.467927
17000,7.522840,2.551747,1396.557409,272.594101
18000,9.140281,3.213841,1388.243736,320.435118
19000,10.536500,3.227165,1393.235412,299.793777
20000,12.348769,5.032488,1433.697565,344.361510
