matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.007978,0.004593,2330.046576,587.803552
3000,0.022992,0.005243,2428.786496,352.959179
4000,0.045107,0.006016,2875.534451,283.874016
5000,0.106254,0.009311,2372.306986,222.459091
6000,0.196314,0.013083,2210.367482,147.320432
7000,0.368384,0.077711,1949.947933,416.966100
8000,0.536744,0.160273,2053.471165,491.579283
9000,0.734682,0.211046,2106.352822,425.949685
10000,0.941923,0.227851,2212.128925,370.953888
11000,1.237828,0.268077,2217.216158,308.767502
12000,1.569573,0.327969,2266.429213,310.084327
13000,1.994074,0.373705,2256.635056,283.686917
14000,2.415797,0.462307,2328.469699,296.919297
15000,2.979308,0.512727,2312.783614,274.254860
16000,3.825348,0.997970,2251.359191,421.966972
17000,4.507279,1.126826,2282.776894,411.986914
18000,4.769685,0.674361,2482.441304,262.601402
19000,5.689621,0.807621,2447.611759,258.253522
20000,6.382972,0.663328,2528.493840,210.422198
