matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.023891,0.003089,678.170337,65.524868
3000,0.062693,0.003505,863.699745,42.154310
4000,0.144505,0.025969,919.345683,187.724956
5000,0.275470,0.083575,979.240550,237.853249
6000,0.422325,0.104110,1076.709084,220.751076
7000,0.603282,0.157357,1199.742085,242.724228
8000,0.845470,0.199954,1263.407144,221.778121
9000,1.154018,0.269077,1315.786027,225.166428
10000,1.460305,0.320229,1415.210335,209.939667
11000,1.920028,0.360226,1422.670116,194.386743
12000,2.416793,0.392503,1457.769382,171.787587
13000,2.935707,0.515196,1529.015149,184.121782
14000,4.172023,1.171416,1403.131820,313.066247
15000,4.871144,1.373932,1462.817763,275.910889
16000,5.064597,0.755559,1643.733209,175.896166
17000,6.418320,1.490688,1585.006870,234.070907
18000,7.281372,0.937039,1621.966052,156.039678
19000,9.446920,2.331118,1526.363757,302.365115
20000,10.741993,3.078747,1576.047413,304.412399
