matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.013111,0.002970,1261.844841,184.263961
3000,0.033526,0.003107,1621.904699,121.134551
4000,0.067734,0.004268,1896.332014,104.726594
5000,0.124184,0.010295,2027.273689,172.011019
6000,0.199651,0.041672,2260.314828,463.679060
7000,0.300173,0.066449,2387.095923,464.733044
8000,0.431360,0.126974,2554.645306,622.148732
9000,0.574437,0.154339,2686.550597,557.354770
10000,0.716131,0.177614,2922.116366,522.824664
11000,0.908872,0.213104,3044.584596,499.691256
12000,1.178488,0.237587,3021.667322,444.996054
13000,1.415335,0.322544,3211.637986,473.231915
14000,1.730375,0.385465,3276.384978,473.268980
15000,2.113405,0.370042,3262.551376,392.683364
16000,2.818973,0.628887,3028.867560,552.882926
17000,3.300477,0.790138,3120.160159,600.821233
18000,3.492106,0.505732,3391.796083,357.389553
19000,4.287034,0.727101,3274.287522,439.957478
20000,4.766108,0.547685,3391.382631,298.975710
