matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.012246,0.005785,1451.892961,310.651606
3000,0.054326,0.005121,1002.112249,86.570780
4000,0.100481,0.008238,1282.018661,100.055552
5000,0.185700,0.010146,1350.211645,72.478365
6000,0.346835,0.061149,1287.357199,238.796108
7000,0.567191,0.165655,1299.965746,313.442599
8000,0.742971,0.278912,1525.353842,398.895235
9000,0.930894,0.390526,1756.338198,464.332995
10000,1.193908,0.477978,1847.627657,443.413888
11000,1.843449,0.767894,1576.451001,321.331586
12000,1.814735,0.663569,2055.638180,422.563682
13000,2.204600,0.794491,2143.382847,424.167687
14000,3.186405,1.525632,2017.632599,632.374805
15000,3.594752,1.600332,2115.560556,546.828584
16000,3.745802,1.101089,2299.234573,383.063822
17000,4.418728,1.255270,2332.490658,384.829420
18000,6.391675,2.739773,2098.424186,642.188535
19000,7.309811,2.897781,2118.179393,613.959736
20000,7.376744,2.814364,2341.153798,455.461471
