matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.006660,0.004197,2827.319648,683.715117
3000,0.016688,0.006103,3477.216793,667.726415
4000,0.039162,0.008173,3370.596204,497.355009
5000,0.076337,0.011749,3333.734154,384.613578
6000,0.121168,0.012247,3595.148405,296.172409
7000,0.199171,0.015220,3462.027962,233.343503
8000,0.308928,0.037761,3367.886668,438.715443
9000,0.491937,0.117742,3125.689890,685.149323
10000,0.563537,0.233210,3974.546500,1064.140149
11000,0.872842,0.379173,3451.889393,949.821848
12000,1.123330,0.409762,3336.589127,732.023043
13000,1.194368,0.392910,3907.528640,699.459334
14000,1.506088,0.582634,3959.894720,837.316942
15000,1.793225,0.654043,4050.993983,801.452702
16000,2.485979,1.279549,3910.153790,1216.342850
17000,2.429099,0.820296,4308.623685,786.510348
18000,2.808390,0.922731,4410.977470,789.439067
19000,3.208675,1.039086,4533.009976,799.281731
20000,3.671073,1.139622,4603.694892,793.576431
