matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.029555,0.006285,557.684341,77.054660
3000,0.090165,0.003381,599.703761,21.372733
4000,0.162300,0.010039,791.539952,46.599194
5000,0.280980,0.067229,956.174415,279.319694
6000,0.422926,0.155234,1156.414361,378.022037
7000,0.616703,0.264103,1286.730983,435.556070
8000,0.830604,0.360485,1401.960481,409.687347
9000,1.045891,0.547444,1617.945448,459.256903
10000,1.380403,0.673063,1637.578056,409.653367
11000,1.748243,0.864006,1713.203536,398.406228
12000,2.136159,0.995460,1798.553768,396.858217
13000,2.684669,1.188205,1801.750615,377.388361
14000,4.130056,2.421859,1657.062556,573.344902
15000,4.745364,2.666095,1700.690348,509.114847
16000,4.586595,1.468204,1892.112632,333.134097
17000,5.402279,1.843739,1938.234181,351.327993
18000,7.658676,4.054220,1812.128267,554.454726
19000,8.790644,4.146411,1802.437558,520.016109
20000,10.002029,5.965065,1871.354376,469.684502
