matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.008561,0.005419,2200.289040,529.137009
3000,0.025417,0.008213,2252.250316,397.114229
4000,0.058909,0.005481,2188.980629,174.483866
5000,0.118999,0.012781,2129.413239,269.835855
6000,0.160893,0.011655,2698.040500,180.640253
7000,0.272397,0.017607,2528.421564,155.717700
8000,0.371418,0.069463,2847.275829,486.122662
9000,0.594360,0.145666,2581.786334,529.650269
10000,0.837152,0.224297,2520.940693,496.535696
11000,1.151426,0.334493,2440.281681,449.013748
12000,1.460688,0.410915,2479.710447,406.150802
13000,1.870900,0.548864,2469.660879,414.751062
14000,2.209556,0.616308,2600.033366,417.235955
15000,2.778876,0.692561,2523.331441,378.521430
16000,3.641166,1.215718,2434.874629,559.815920
17000,4.414395,1.565354,2426.490755,567.178291
18000,4.556571,0.889780,2625.850094,338.375893
19000,5.426796,1.180713,2605.979472,359.320790
20000,5.985303,0.902970,2717.464560,293.481141
