matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.056517,0.003890,284.250689,16.685802
3000,0.131256,0.045381,482.755501,208.618120
4000,0.199466,0.080902,741.079760,246.954750
5000,0.337520,0.127725,824.462802,229.015623
6000,0.474993,0.198531,1022.841195,280.898140
7000,0.637013,0.286180,1211.716856,307.486793
8000,0.829354,0.338786,1356.051358,304.930790
9000,1.091876,0.444351,1456.661313,303.527685
10000,1.338938,0.532364,1622.960600,330.149231
11000,1.666809,0.584122,1707.643578,318.164047
12000,2.059437,0.654469,1779.028209,320.854101
13000,3.161261,1.617285,1659.634973,537.684031
14000,3.861493,2.046241,1717.731550,571.779996
15000,4.181536,1.825594,1800.923776,439.486261
16000,4.104401,0.928935,2062.373446,294.420151
17000,4.868245,1.084660,2083.623895,293.247076
18000,7.022738,3.030824,1888.158221,533.775568
19000,7.970457,3.293340,1950.444563,561.112016
20000,8.636880,4.042737,2091.732663,524.095492
