matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.025000,0.002951,646.917220,58.552089
3000,0.076770,0.002735,704.229527,23.223258
4000,0.138357,0.057344,1152.921861,556.123543
5000,0.199310,0.095437,1554.251783,631.240251
6000,0.285095,0.112992,1732.324832,573.572991
7000,0.382759,0.191808,2128.223037,689.864975
8000,0.474640,0.218349,2454.010020,675.916213
9000,0.587268,0.277176,2828.462551,751.835188
10000,0.700342,0.312692,3192.855864,777.790730
11000,0.894120,0.421733,3321.232807,745.798581
12000,1.037364,0.449329,3667.289287,790.726434
13000,1.239394,0.513318,3865.411677,779.459960
14000,1.463669,0.572387,4054.437751,781.892290
15000,1.756059,0.605095,4100.612407,749.004573
16000,2.342848,1.098038,3979.598559,1052.806271
17000,2.830341,1.421570,4044.092333,1145.902325
18000,2.820003,0.870405,4364.542554,740.335743
19000,3.586073,1.365971,4173.164937,931.353530
20000,3.646462,0.856805,4542.301236,657.879103
