matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.024915,0.000717,642.669541,17.238228
3000,0.079819,0.000844,676.604573,6.973606
4000,0.202080,0.034557,646.435056,76.206821
5000,0.388989,0.034962,647.572324,54.394657
6000,0.646077,0.049422,672.346554,48.361933
7000,1.002328,0.066944,687.375942,44.483599
8000,1.527365,0.087478,672.567179,37.249818
9000,2.135927,0.133985,685.068075,39.264389
10000,2.864563,0.087343,698.837426,21.349106
11000,3.796750,0.222418,703.365332,38.245944
12000,4.972411,0.233240,696.496481,31.166752
13000,6.295828,0.267853,699.132813,28.469582
14000,7.726134,0.265122,711.134933,23.857956
15000,9.472167,0.429215,713.984093,30.246423
16000,11.705792,0.493774,701.004689,27.983331
17000,13.897943,0.580107,708.158551,27.509183
18000,16.284903,0.577909,717.117902,24.568757
19000,19.277618,0.658576,712.398715,23.316283
20000,22.355149,0.752631,716.494908,23.059055
