matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.013102,0.000760,1224.796051,61.539586
3000,0.041529,0.000845,1300.804611,25.202832
4000,0.103757,0.007818,1239.524063,78.026823
5000,0.198972,0.024881,1271.461351,120.080129
6000,0.339942,0.029375,1279.239562,97.874187
7000,0.535530,0.031201,1285.189292,72.465996
8000,0.784859,0.047369,1309.233369,75.294804
9000,1.107997,0.060248,1319.637294,69.004885
10000,1.539805,0.073783,1301.735594,59.944055
11000,2.021746,0.093872,1319.445545,59.527532
12000,2.611142,0.156207,1327.858222,71.977571
13000,3.346559,0.147130,1315.428696,55.496262
14000,4.104527,0.191609,1339.817575,59.123557
15000,5.033992,0.180516,1342.580848,47.328175
16000,6.160048,0.228893,1331.642855,47.998540
17000,7.281396,0.268927,1351.229040,47.734612
18000,8.651998,0.337701,1350.075898,49.947830
19000,10.172318,0.417419,1350.696251,52.051451
20000,11.892112,0.485018,1347.549515,52.018143
