matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.024396,0.001406,657.740512,32.868075
3000,0.075421,0.001600,716.284481,14.385707
4000,0.168807,0.019579,766.160253,68.127765
5000,0.335218,0.026648,750.135803,54.801849
6000,0.559429,0.019349,773.137751,26.656617
7000,0.914891,0.045992,751.652703,36.613606
8000,1.324666,0.036338,773.615732,21.531795
9000,1.889854,0.046284,771.949423,18.841348
10000,2.579990,0.074154,775.819761,21.691447
11000,3.421587,0.078942,778.409148,17.671764
12000,4.457845,0.146653,776.083611,24.975421
13000,5.648722,0.116883,778.209025,16.146789
14000,7.045032,0.168716,779.428439,18.367530
15000,8.661182,0.178029,779.666434,15.915248
16000,10.470073,0.241216,782.833611,17.934600
17000,12.635099,0.234185,777.941321,14.374544
18000,14.842212,0.241349,786.072081,12.632071
19000,17.597577,0.369475,779.877109,16.101509
20000,20.543310,0.390158,779.121060,14.677492
