matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.012541,0.001430,1288.749178,113.477567
3000,0.037486,0.001507,1442.658069,52.441106
4000,0.085116,0.001592,1504.331212,26.812959
5000,0.176585,0.016820,1427.152129,119.782213
6000,0.297206,0.030428,1466.973678,131.373081
7000,0.455236,0.025611,1511.371368,79.318583
8000,0.668957,0.033900,1534.525817,74.745961
9000,0.966564,0.036459,1510.629952,58.168286
10000,1.334893,0.032888,1499.163621,37.176854
11000,1.750027,0.057301,1522.757853,50.051402
12000,2.278212,0.045328,1517.577745,30.080634
13000,2.912743,0.068911,1509.378370,35.285749
14000,3.563727,0.082028,1540.767240,35.041551
15000,4.406219,0.107496,1532.813057,36.382521
16000,5.299150,0.090778,1546.358644,26.287740
17000,6.356791,0.141865,1546.513771,34.299743
18000,7.532719,0.149844,1549.059997,30.922518
19000,8.823029,0.131136,1555.135594,22.929222
20000,10.355344,0.116279,1545.290278,17.306724
