matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.024694,0.000667,648.379150,16.362392
3000,0.076956,0.000568,701.741026,5.082081
4000,0.176622,0.029895,739.348782,86.548894
5000,0.353044,0.032521,713.472158,58.156710
6000,0.586014,0.043566,741.081594,52.479666
7000,0.960879,0.055321,716.290031,41.015920
8000,1.386762,0.060774,739.860573,33.087624
9000,1.948931,0.113935,750.614268,42.991320
10000,2.649568,0.118325,756.292681,32.546067
11000,3.531023,0.192185,756.014585,39.096689
12000,4.579903,0.246242,756.617485,37.566335
13000,5.743234,0.283248,766.795829,34.954875
14000,7.208724,0.251605,762.218140,26.319270
15000,8.834582,0.430692,765.696017,33.942051
16000,10.646782,0.393158,770.452772,27.588011
17000,12.912893,0.505533,762.065610,28.639007
18000,14.985705,0.429245,778.972156,22.011156
19000,17.832325,0.689017,770.360651,28.061312
20000,20.659772,0.816201,775.598126,29.018082
