matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.013380,0.000846,1199.936716,65.166117
3000,0.039453,0.000687,1369.097832,22.817311
4000,0.086216,0.000591,1484.715102,10.000113
5000,0.178406,0.033759,1435.491835,180.727392
6000,0.301872,0.028408,1442.120042,117.837369
7000,0.474973,0.030386,1449.879691,87.387291
8000,0.677603,0.040934,1516.501583,87.664222
9000,0.979121,0.051197,1493.175296,78.148676
10000,1.338004,0.054633,1497.259777,61.138601
11000,1.748481,0.072886,1525.084571,62.902182
12000,2.235374,0.082619,1548.148171,56.781812
13000,2.857115,0.129957,1540.978987,67.437049
14000,3.572361,0.157165,1539.087134,64.807436
15000,4.348445,0.178681,1554.865119,62.954046
16000,5.277371,0.225958,1555.040207,64.316385
17000,6.339649,0.252062,1552.327530,60.373297
18000,7.464499,0.297677,1564.935353,58.707003
19000,8.712330,0.370317,1577.191458,62.200517
20000,10.229685,0.467917,1567.059132,65.280150
