matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.024751,0.000582,646.785486,14.319665
3000,0.079620,0.000710,678.276790,5.910772
4000,0.180551,0.004801,709.411987,17.715782
5000,0.355760,0.006895,702.982348,13.464987
6000,0.600114,0.009322,720.036476,11.133314
7000,0.943344,0.012186,727.321433,9.370547
8000,1.430688,0.023603,715.932200,11.679193
9000,1.988094,0.016067,733.413720,5.960339
10000,2.732250,0.019873,732.035984,5.305799
11000,3.624657,0.034761,734.481755,7.031405
12000,4.695259,0.033119,736.098159,5.171024
13000,5.968797,0.042540,736.198815,5.204656
14000,7.398274,0.051699,741.830689,5.153859
15000,9.165344,0.075811,736.520135,6.076640
16000,11.219846,0.083791,730.175360,5.434903
17000,13.304321,0.118184,738.615292,6.555457
18000,15.644629,0.118410,745.601760,5.597772
19000,18.383362,0.136447,746.259043,5.497808
20000,21.461471,0.057871,745.527486,2.014190
