matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.012855,0.000811,1248.926926,67.609892
3000,0.041540,0.000702,1300.293608,21.056140
4000,0.096289,0.000663,1329.400026,9.007702
5000,0.187101,0.005198,1337.145085,34.739702
6000,0.322111,0.009178,1342.201289,36.753751
7000,0.509367,0.009999,1347.287279,26.366559
8000,0.748796,0.014502,1368.032351,26.037612
9000,1.062511,0.015397,1372.504585,19.559859
10000,1.472135,0.013849,1358.690677,12.758220
11000,1.937414,0.013970,1374.067968,9.875290
12000,2.512927,0.019084,1375.367665,10.403055
13000,3.184425,0.018819,1379.889055,8.112660
14000,3.961112,0.035682,1385.580211,12.291720
15000,4.853239,0.030650,1390.879209,8.775662
16000,5.891493,0.039711,1390.542539,9.365501
17000,6.997816,0.044745,1404.210073,9.034853
18000,8.348520,0.074548,1397.244725,12.421837
19000,9.806803,0.064104,1398.884447,9.115028
20000,11.502872,0.062160,1390.997683,7.539153
