matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.022135,0.001428,725.420438,39.953592
3000,0.070865,0.001530,762.348267,15.606989
4000,0.160074,0.004493,800.226080,21.181429
5000,0.313844,0.005020,796.774514,12.495740
6000,0.532055,0.002652,811.966130,4.039020
7000,0.855442,0.005906,801.962610,5.527535
8000,1.252683,0.005090,817.459007,3.300264
9000,1.778475,0.007398,819.817616,3.420269
10000,2.454867,0.011812,814.726899,3.903445
11000,3.253553,0.008716,818.188389,2.184558
12000,4.228941,0.016306,817.238040,3.147815
13000,5.358076,0.021661,820.083865,3.306060
14000,6.707359,0.025288,818.217395,3.074328
15000,8.240617,0.028703,819.123355,2.855601
16000,9.984105,0.042897,820.519307,3.521558
17000,11.968166,0.033022,821.017595,2.266821
18000,14.142663,0.047485,824.747850,2.763903
19000,16.655687,0.064927,823.635074,3.204943
20000,19.460429,0.051393,822.186993,2.172079
