matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.011704,0.001705,1388.249599,145.809242
3000,0.035693,0.001552,1515.452797,59.047112
4000,0.081490,0.001565,1571.297537,28.703731
5000,0.163762,0.003887,1527.431159,34.729660
6000,0.275624,0.004881,1567.837109,27.402241
7000,0.430393,0.005342,1594.135941,19.547424
8000,0.634723,0.005946,1613.442737,15.054764
9000,0.904155,0.004212,1612.589880,7.506526
10000,1.247528,0.003389,1603.182691,4.360360
11000,1.643462,0.006284,1619.775192,6.187033
12000,2.141146,0.009540,1614.120849,7.175218
13000,2.717833,0.008866,1616.746553,5.277399
14000,3.368204,0.010717,1629.371328,5.179223
15000,4.183116,0.019328,1613.664016,7.409918
16000,5.041793,0.014587,1624.832304,4.705755
17000,6.042504,0.010640,1626.152065,2.867372
18000,7.151430,0.023551,1631.020090,5.354395
19000,8.402321,0.027698,1632.661906,5.372729
20000,9.839988,0.028189,1626.031638,4.656823
