matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.021499,0.000601,744.776022,19.375939
3000,0.071784,0.000638,752.319150,6.563272
4000,0.164990,0.006243,776.850801,27.634193
5000,0.331061,0.007734,755.539397,16.752945
6000,0.548454,0.005225,787.739574,7.473726
7000,0.881095,0.009478,778.665808,8.299817
8000,1.284236,0.008574,797.396662,5.272068
9000,1.835492,0.013939,794.382794,5.985749
10000,2.513734,0.014412,795.655090,4.551483
11000,3.347343,0.021219,795.289106,4.974622
12000,4.378991,0.026175,789.251037,4.705379
13000,5.587605,0.029058,786.404821,4.103999
14000,6.967588,0.014263,787.650327,1.611530
15000,8.541432,0.024465,790.272069,2.261968
16000,10.274687,0.041474,797.312208,3.209707
17000,12.412157,0.058418,791.660717,3.717492
18000,14.593673,0.039604,799.256358,2.167006
19000,17.268967,0.064355,794.383973,2.959236
20000,20.105327,0.050393,795.813972,1.989134
