matrix_size,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2000,0.012075,0.000866,1330.836626,80.481433
3000,0.036283,0.001091,1489.569043,42.813419
4000,0.080909,0.000768,1582.159816,14.651674
5000,0.163751,0.003050,1527.219078,27.375867
6000,0.277175,0.003619,1558.843704,19.922097
7000,0.433285,0.005618,1583.517050,20.313782
8000,0.638600,0.006093,1603.652736,15.289843
9000,0.908334,0.005914,1605.205460,10.516377
10000,1.279677,0.008513,1562.963147,10.355875
11000,1.673761,0.009803,1590.484535,9.218963
12000,2.145993,0.014178,1610.512967,10.553124
13000,2.724402,0.007364,1612.843036,4.361182
14000,3.434096,0.010617,1598.106954,4.940977
15000,4.212136,0.017840,1602.540923,6.754238
16000,5.093681,0.028383,1608.316806,8.924666
17000,6.113939,0.020471,1607.165308,5.372875
18000,7.244014,0.022499,1610.172593,4.996201
19000,8.471178,0.038425,1619.406330,7.286883
20000,9.950711,0.022753,1607.933762,3.672109
