#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2,21.064498,0.126323,94.949881,0.566438
4,11.497677,0.040390,173.950314,0.608696
6,7.972181,0.030692,250.876101,0.966991
8,5.728871,0.028218,349.117358,1.712409
10,4.978874,0.012459,401.699792,1.005757
12,3.943291,0.014307,507.197258,1.834362
14,3.779443,0.022429,529.197073,3.136107
16,2.937357,0.014762,680.901489,3.417703
18,2.986833,0.036237,669.703117,8.042654
20,2.401298,0.037738,833.086054,12.934826
22,2.605639,0.058200,767.936968,16.607390
24,2.265276,0.065216,883.594912,24.345534
26,2.256006,0.115923,888.626724,40.980043
28,1.885281,0.131711,1065.621182,68.470615
30,1.834595,0.133910,1095.242610,69.778395
32,1.783047,0.175019,1130.883122,94.286017
34,1.937514,0.133375,1036.627591,63.672895
36,1.672040,0.176048,1207.138265,104.879574
38,1.809752,0.145720,1111.606556,80.745920
40,1.621256,0.229631,1253.820022,143.918905
42,1.577335,0.226117,1288.740494,146.141293
44,1.580713,0.319253,1307.485149,212.628024
46,1.669450,0.170691,1209.098826,109.106167
48,1.500476,0.241339,1359.225222,165.033376
50,1.514177,0.325417,1369.540462,230.902961
52,1.554955,0.395741,1355.803942,280.320912
54,1.437052,0.300784,1436.201423,215.727578
56,1.442286,0.334442,1442.015270,243.854700
58,1.493616,0.239507,1367.409329,178.872252
60,1.387998,0.318494,1498.410326,255.357692
62,1.464326,0.224854,1393.632280,183.136489
64,1.398393,0.383489,1508.312067,291.013433
66,1.411258,0.420899,1508.140627,311.538463
68,1.605569,0.406067,1303.186918,230.595513
70,1.311936,0.370612,1609.707881,306.293266
72,1.458157,0.392231,1443.780651,272.581758
74,1.294527,0.219369,1577.828176,195.573530
76,1.776042,0.364585,1161.152407,172.098286
78,1.571928,0.357619,1321.411026,218.334551
80,1.384028,0.372821,1520.883207,285.548030
82,1.304068,0.260366,1582.324054,245.995052
84,1.524321,0.369932,1369.491094,239.187549
86,1.284633,0.290440,1619.938983,281.922184
88,1.307173,0.404752,1636.978650,351.678465
90,1.253226,0.386658,1705.339624,361.168566
92,1.901518,0.473170,1099.177911,192.582691
94,1.266695,0.309864,1653.956377,310.960790
96,1.259594,0.447934,1734.420706,422.477761
98,1.556147,0.423994,1354.017691,255.554284
100,1.314871,0.307103,1576.503137,240.069139
102,1.489216,0.563806,1480.017511,373.011620
104,1.277188,0.445422,1707.020493,416.131132
106,1.197562,0.335989,1773.178654,375.703841
108,1.290235,0.474186,1705.244860,433.372353
110,1.474337,0.411508,1430.539231,268.535144
112,1.551464,0.468248,1372.079829,279.996111
114,1.712338,0.576280,1258.622285,275.145447
116,2.016151,0.700751,1072.215935,235.979543
118,1.385929,0.291784,1504.144402,300.880017
120,1.452252,0.419883,1457.442507,280.695474
122,1.193975,0.362391,1795.992694,409.967703
124,2.262577,0.708689,941.664203,187.310600
126,1.225439,0.466774,1804.686375,463.660532
128,1.645183,0.547952,1305.916154,275.787121
