#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2,10.281002,0.075610,194.543943,1.411277
4,5.356746,0.021871,373.367217,1.519224
6,3.669416,0.015813,545.055952,2.352915
8,2.677205,0.016380,747.075765,4.573779
10,2.277708,0.009558,878.090972,3.686141
12,1.818794,0.008470,1099.653431,5.121745
14,1.701633,0.012011,1175.400189,8.284701
16,1.431108,0.006710,1397.548970,6.567139
18,1.324363,0.014680,1510.345133,16.722229
20,1.182746,0.035900,1692.509510,50.409319
22,1.186288,0.036834,1687.500497,50.540093
24,1.054225,0.048590,1900.935788,82.657866
26,1.047596,0.060689,1915.035582,101.996205
28,0.962691,0.086853,2092.935493,171.505854
30,0.916315,0.089307,2201.151930,190.438684
32,0.916186,0.119479,2215.305439,249.116810
34,0.897431,0.091897,2249.961489,209.370213
36,0.862093,0.127039,2362.167651,288.086588
38,0.853325,0.098412,2372.269375,248.295391
40,0.843667,0.163020,2445.203313,389.333637
42,0.834051,0.152756,2464.558627,366.214917
44,0.834965,0.213238,2523.197983,508.271078
46,0.808453,0.119249,2522.650852,333.611003
48,0.748116,0.158862,2763.472256,431.559946
50,0.812154,0.217211,2608.332357,553.900724
52,0.843298,0.254347,2550.469027,607.058815
54,0.762692,0.195518,2758.298310,537.506401
56,0.776193,0.222773,2746.719580,601.907742
58,0.748113,0.150349,2772.297893,497.711019
60,0.705078,0.179718,2967.205267,522.025424
62,0.698671,0.132736,2958.901691,511.788465
64,0.686139,0.235756,3125.306159,629.625999
66,0.806202,0.287839,2723.353626,693.957435
68,1.038076,0.235113,2007.059912,357.315983
70,0.717655,0.238127,3013.367988,689.111404
72,0.911901,0.256131,2328.768315,487.899612
74,0.670864,0.126310,3081.035967,533.687931
76,1.092571,0.285482,1925.700090,367.404399
78,0.938824,0.197874,2196.994174,320.149184
80,0.917986,0.214276,2272.594461,407.903835
82,0.639676,0.119305,3233.123870,574.586038
84,0.935522,0.247375,2250.628411,429.635230
86,0.611368,0.122835,3401.587740,651.820312
88,0.723711,0.279833,3102.154192,899.867319
90,0.700442,0.227482,3109.010705,802.364208
92,1.250296,0.333798,1684.209151,318.691062
94,0.573606,0.150945,3692.026794,802.902295
96,0.735176,0.269207,3014.126517,823.355246
98,1.003578,0.294346,2119.645465,434.963619
100,0.855335,0.285249,2535.895600,605.377485
102,0.982663,0.399079,2285.945243,630.888263
104,0.601092,0.269526,3747.031412,982.178668
106,0.501632,0.059432,4044.054925,483.422288
108,0.752013,0.302025,3040.137740,990.658259
110,0.922160,0.271536,2311.873673,492.230271
112,1.005243,0.318431,2137.084652,470.792522
114,1.079690,0.413554,2047.367000,517.512027
116,1.008064,0.472026,2233.149003,553.151005
118,0.499155,0.101591,4154.177897,742.740914
120,0.850345,0.254388,2521.071582,572.798153
122,0.472154,0.026643,4250.196512,253.695127
124,1.411709,0.557972,1572.066646,397.125129
126,0.650656,0.159336,3244.312048,701.359835
128,0.911667,0.427733,2549.490832,782.644421
