#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2,21.546410,0.100001,92.824874,0.428141
4,11.124583,0.033454,179.783643,0.540487
6,7.424401,0.028820,269.386060,1.045996
8,5.947082,0.049846,336.322669,2.781550
10,4.750417,0.018668,421.022184,1.653967
12,4.232328,0.017825,472.561538,1.988243
14,3.708520,0.023046,539.319578,3.359198
16,3.895164,0.010438,513.460921,1.377780
18,3.328712,0.116134,601.522651,19.776483
20,3.148186,0.195842,637.434813,34.561904
22,2.842916,0.234235,707.566209,49.424250
24,2.769867,0.285680,728.271778,60.393446
26,2.525170,0.323962,802.251207,80.064875
28,2.474726,0.362353,821.267382,89.854488
30,2.297496,0.342343,884.911820,96.996531
32,2.307406,0.373653,883.388521,103.070987
34,2.082639,0.393257,984.814244,130.727698
36,2.131076,0.429071,965.619528,136.122783
38,1.995839,0.392987,1029.505876,140.504493
40,2.038114,0.438008,1012.679222,147.648160
42,1.883463,0.416850,1097.208373,161.122951
44,1.937988,0.479924,1074.814009,175.452324
46,1.846584,0.427135,1123.650713,178.300101
48,1.894307,0.484973,1102.338784,185.548278
50,1.797657,0.444045,1161.428543,201.261686
52,1.817792,0.527379,1161.501898,216.588229
54,1.745258,0.485245,1206.927669,224.351394
56,1.763287,0.564908,1209.354378,241.545053
58,1.700589,0.478915,1238.624424,227.859355
60,1.721308,0.573686,1243.525476,252.871855
62,1.685474,0.485237,1253.701902,239.537206
64,1.727687,0.561662,1238.917473,260.281945
66,1.636574,0.496496,1294.710201,245.276074
68,1.673942,0.604012,1291.216426,277.324844
70,1.615022,0.533139,1321.859168,259.049070
72,1.699281,0.570735,1257.734975,246.585982
74,1.644193,0.509842,1289.134225,238.999607
76,1.788126,0.573990,1186.239395,213.315841
78,1.661938,0.541794,1280.404543,240.266257
80,1.788255,0.580872,1192.773615,235.726649
82,1.625470,0.557584,1322.716355,277.650282
84,1.714956,0.613870,1261.656018,276.003953
86,1.609704,0.577188,1345.731027,299.125374
88,1.698330,0.647121,1290.711970,311.628140
90,1.632140,0.579338,1325.065675,292.578299
92,1.706379,0.655824,1284.485928,306.876213
94,1.704646,0.555319,1252.159303,248.470159
96,1.679774,0.688236,1324.797403,348.300523
98,1.550285,0.662296,1442.845977,377.222170
100,1.700153,0.689932,1306.298490,339.875509
102,1.577124,0.676215,1438.358617,426.383571
104,1.699640,0.690570,1301.745528,322.800472
106,1.683046,0.617436,1291.878053,293.705864
108,1.735709,0.692894,1268.780367,304.563284
110,1.703908,0.635980,1278.156106,291.441496
112,1.795034,0.674296,1211.850968,269.303295
114,1.633549,0.688760,1371.016034,368.380829
116,1.634574,0.731281,1373.034366,351.840252
118,1.650812,0.710310,1364.412757,375.585670
120,1.774786,0.704765,1242.085517,303.237996
122,1.682739,0.750201,1376.766734,452.471059
124,1.757076,0.743291,1272.965205,336.705766
126,1.669535,0.749187,1378.987182,434.514205
128,1.653123,0.779646,1378.140417,379.275768
