#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2,17.115748,0.136908,116.858791,0.917499
4,11.557642,0.064596,173.051034,0.958473
6,6.166350,0.010701,324.341981,0.563337
8,4.649745,0.013779,430.134938,1.275058
10,4.296465,0.012486,465.502932,1.351760
12,3.383141,0.008234,591.170096,1.437455
14,2.917175,0.006355,685.597979,1.492081
16,2.788450,0.007659,717.249729,1.970674
18,2.420241,0.027994,826.472476,9.366893
20,2.173363,0.032593,920.436183,13.571147
22,2.042863,0.064136,979.935624,29.233559
24,1.765799,0.060793,1133.877536,36.200153
26,1.707616,0.069264,1172.989503,43.555528
28,1.538500,0.098916,1304.671305,73.239251
30,1.461743,0.105544,1374.398055,85.552894
32,1.378371,0.121202,1460.303706,106.086038
34,1.337734,0.107773,1503.455389,104.357247
36,1.292796,0.146988,1562.907480,139.914359
38,1.203225,0.158216,1684.751533,172.295688
40,1.159114,0.166739,1752.916458,191.749078
42,1.116848,0.168471,1822.245748,209.920719
44,1.083195,0.188546,1888.444302,243.927035
46,1.014547,0.169529,2010.434351,234.373516
48,1.006214,0.186391,2039.751281,283.853810
50,0.987245,0.179105,2072.577007,258.506213
52,0.998023,0.245999,2085.165486,332.941303
54,1.000807,0.202376,2057.560240,295.468695
56,0.973088,0.208310,2123.182036,320.226273
58,0.954967,0.237783,2176.750508,332.668685
60,0.952576,0.254803,2201.782590,388.387802
62,0.976443,0.298507,2169.091946,401.242205
64,0.935900,0.266977,2255.121031,422.234508
66,0.909203,0.279958,2342.054044,473.511509
68,0.921038,0.281321,2306.357260,451.768484
70,0.884066,0.248039,2393.030587,474.289335
72,0.863839,0.259083,2463.378888,502.404101
74,0.998739,0.326748,2164.242313,504.927942
76,0.830066,0.264014,2585.948072,566.017622
78,0.826034,0.265358,2602.182801,570.777430
80,0.825949,0.280722,2630.542203,628.086183
82,0.835274,0.263569,2562.788582,544.500836
84,0.823354,0.297098,2660.803277,654.261524
86,0.794859,0.309445,2780.068972,699.667796
88,0.807266,0.317996,2758.798816,732.073383
90,0.801032,0.312552,2782.852004,753.935227
92,0.751353,0.328437,2984.717771,761.896993
94,0.873478,0.384741,2607.990244,746.071737
96,0.755241,0.334223,3022.629710,861.685047
98,0.734289,0.313017,3075.876409,850.625736
100,0.721508,0.320703,3147.073432,867.624263
102,0.711741,0.318461,3192.491467,877.947068
104,0.718776,0.329280,3191.694529,927.664439
106,0.758290,0.349722,3069.647382,974.351420
108,0.712280,0.337036,3285.277896,1030.269476
110,0.740010,0.339924,3164.054600,1048.109264
112,0.740816,0.339014,3153.630044,1034.210169
114,0.708787,0.354926,3330.745088,1070.224134
116,0.665599,0.363488,3584.969127,1098.647820
118,0.696706,0.345739,3418.318409,1129.195699
120,0.695891,0.337326,3411.374644,1135.526225
122,0.722166,0.333883,3256.839074,1106.491399
124,0.750452,0.429966,3284.352952,1122.978442
126,0.724458,0.324892,3250.038840,1159.331236
128,0.677421,0.324515,3505.760904,1178.710369
