#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,42.222576,0.056398,47.368108,0.062900
2,21.237823,0.138643,94.175537,0.601711
4,10.752151,0.049767,186.013257,0.855975
6,7.440626,0.025912,268.797831,0.931803
8,5.702317,0.024812,350.741277,1.523122
10,4.684500,0.013783,426.943633,1.253317
12,4.008784,0.016194,498.912573,2.011212
14,3.634476,0.015662,550.295890,2.381515
16,3.150755,0.011982,634.777551,2.406262
18,2.966658,0.010832,674.168144,2.445457
20,2.578130,0.009945,775.767526,2.964130
22,2.456197,0.016112,814.301521,5.248471
24,2.235653,0.018571,894.652696,7.166292
26,2.075551,0.040238,963.932335,17.160106
28,2.060026,0.031155,971.070488,13.834668
30,2.035400,0.037514,982.919033,16.884251
32,1.856435,0.049995,1078.034062,26.013941
34,1.822452,0.081691,1099.302781,42.039160
36,1.784409,0.078272,1122.611522,40.900644
38,1.720451,0.086172,1164.849903,47.268907
40,1.629151,0.105103,1231.576047,61.271107
42,1.710659,0.095411,1172.013334,51.592761
44,1.591789,0.112179,1261.106541,66.230759
46,1.536879,0.106094,1306.115050,69.392501
48,1.447713,0.145115,1390.933704,94.633909
50,1.419823,0.149598,1419.443772,103.264086
52,1.373123,0.154631,1468.964734,111.077231
54,1.428341,0.142809,1409.717035,95.260287
56,1.407362,0.169800,1434.222196,109.265202
58,1.444572,0.155806,1395.108489,98.755342
60,1.388417,0.189240,1457.136652,123.297903
62,1.279147,0.212383,1589.226575,156.975953
64,1.365850,0.210508,1485.019665,135.825796
66,1.403632,0.204406,1443.371275,128.357571
68,1.330707,0.216818,1526.168312,143.950780
70,1.424831,0.193348,1419.545522,117.707913
72,1.410903,0.188848,1433.636816,121.361949
74,1.347452,0.211219,1505.930073,139.482473
76,1.303284,0.235112,1563.198580,161.070730
78,1.299389,0.218604,1564.574047,153.912353
80,1.369671,0.216513,1482.730646,145.475138
82,1.318897,0.264781,1550.346685,172.966183
84,1.262526,0.266929,1621.912890,182.030749
86,1.257774,0.274511,1631.079145,191.446301
88,1.173376,0.300964,1758.948892,217.079616
90,1.198777,0.277871,1714.719657,204.209819
92,1.239445,0.297430,1657.795257,187.239031
94,1.284904,0.289594,1603.645560,220.814296
96,1.142901,0.311807,1814.390670,241.216352
98,1.259826,0.300351,1638.497592,228.646946
100,1.117521,0.310541,1857.843010,252.719127
102,1.110954,0.335825,1876.150189,259.045985
104,1.079914,0.352679,1942.319273,287.861139
106,1.154949,0.342733,1801.243767,242.774871
108,1.193153,0.334505,1737.701289,224.430013
110,1.145008,0.340376,1815.036269,236.943106
112,1.114048,0.345688,1876.968751,271.248163
114,1.099587,0.372264,1910.912234,286.251843
116,1.104536,0.348022,1896.210703,284.363203
118,1.087202,0.358566,1926.791711,274.107346
120,1.110879,0.364351,1886.854269,273.456850
122,1.081064,0.434720,1965.372931,305.818477
124,1.081799,0.414808,1957.177945,297.941454
126,1.068877,0.412739,1979.739645,295.877927
128,1.110443,0.370386,1889.683697,279.415186
