#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,21.106066,0.020965,94.759581,0.093913
2,10.286420,0.044726,194.434729,0.831740
4,5.249359,0.022961,381.006199,1.661302
6,3.646716,0.016692,548.450001,2.493289
8,2.777049,0.011785,720.201751,3.043813
10,2.235275,0.014581,894.782310,5.809850
12,1.952363,0.009514,1024.423675,4.965038
14,1.727037,0.006589,1158.069634,4.403307
16,1.529899,0.005413,1307.291886,4.618007
18,1.384124,0.008991,1445.017388,9.310872
20,1.256672,0.008665,1591.580667,10.872163
22,1.196116,0.016086,1672.370529,21.702927
24,1.084620,0.031542,1845.390030,49.111746
26,1.030365,0.042720,1943.945957,69.777092
28,1.038902,0.040843,1927.703441,66.104370
30,1.003461,0.052064,1997.555739,86.062787
32,0.876599,0.014590,2282.151822,36.467024
34,0.903148,0.017070,2215.230877,39.960263
36,0.878477,0.020892,2277.885632,51.245283
38,0.821875,0.030718,2436.554483,82.844813
40,0.790563,0.042073,2535.749637,111.332794
42,0.819969,0.040890,2444.243121,103.042145
44,0.757132,0.043261,2648.934904,129.741971
46,0.721709,0.054570,2783.615837,165.071281
48,0.690603,0.069681,2918.274675,221.193772
50,0.669985,0.074487,3011.717585,241.509476
52,0.656080,0.086482,3083.780479,271.585777
54,0.663766,0.097886,3053.810278,279.405158
56,0.680077,0.099265,2978.894185,263.426777
58,0.665271,0.092026,3042.871798,267.382149
60,0.680569,0.096984,2976.204916,265.572028
62,0.618388,0.112078,3295.052147,342.174285
64,0.657568,0.097939,3083.587460,285.987460
66,0.707043,0.114319,2874.645881,287.607640
68,0.637348,0.126026,3211.231736,375.770633
70,0.656072,0.121559,3112.444786,349.281212
72,0.626671,0.109978,3250.206880,340.630526
74,0.622663,0.120645,3277.689615,344.949715
76,0.628410,0.137213,3272.272191,412.441855
78,0.669515,0.116453,3044.759025,338.436636
80,0.675070,0.158993,3067.101205,456.231964
82,0.649104,0.160132,3187.524126,436.302068
84,0.601605,0.161532,3454.936922,495.066607
86,0.653492,0.204657,3227.391640,551.535602
88,0.589155,0.192732,3578.673078,570.721075
90,0.578359,0.170103,3611.467697,532.374463
92,0.605730,0.214057,3499.882510,571.908889
94,0.606246,0.197495,3491.625031,613.056900
96,0.601073,0.248779,3596.959294,679.533788
98,0.620140,0.292649,3455.773447,506.528792
100,0.524404,0.176510,3991.036949,547.153250
102,0.591700,0.223931,3614.807078,633.036839
104,0.567763,0.253980,3843.807090,740.337062
106,0.613648,0.224311,3486.464181,642.082790
108,0.581951,0.246440,3722.359764,694.208749
110,0.581421,0.257381,3750.535467,723.092229
112,0.560069,0.226675,3853.764893,727.571632
114,0.544987,0.225553,3914.266522,636.064813
116,0.608986,0.227805,3520.546607,657.191731
118,0.568137,0.239177,3811.142285,713.282067
120,0.546820,0.200924,3866.585256,608.759235
122,0.564641,0.336727,3911.882692,672.764587
124,0.559536,0.274160,3939.592681,762.261174
126,0.575361,0.294961,3784.438109,640.602240
128,0.608547,0.238951,3540.340353,679.125868
