#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2,21.718841,0.186239,92.092663,0.783647
4,11.095231,0.098514,180.271594,1.573180
6,7.377717,0.189646,271.258444,6.687190
8,5.548341,0.246548,361.133467,14.996713
10,4.468853,0.131179,447.915312,12.718376
12,3.663797,0.090764,546.213349,13.391450
14,3.228220,0.101998,620.136921,19.014425
16,2.827120,0.111513,708.488048,26.767895
18,2.502167,0.084556,800.197092,26.346720
20,2.317977,0.133583,865.653571,49.188854
22,2.194020,0.113534,914.018127,47.366347
24,1.966278,0.144283,1022.191164,68.821196
26,1.979688,0.158472,1016.687855,80.494156
28,1.803681,0.268574,1129.416491,139.730347
30,1.676556,0.251649,1214.616750,146.013999
32,1.661555,0.346787,1244.482800,198.908793
34,1.591478,0.204527,1274.004331,135.820593
36,1.488524,0.331798,1391.652566,218.552808
38,1.756182,0.185060,1150.127517,107.983731
40,1.469176,0.404126,1436.886441,282.480372
42,1.383842,0.366581,1516.631932,275.121617
44,1.458327,0.453424,1469.584740,326.227835
46,1.580999,0.155855,1275.833203,110.512715
48,1.283215,0.346628,1636.796512,294.947112
50,1.365587,0.452998,1574.878302,341.804885
52,1.450920,0.533798,1507.201802,364.514151
54,1.249469,0.389728,1703.290237,334.760747
56,1.246249,0.442903,1740.195560,390.554425
58,1.340578,0.282505,1542.579501,244.860476
60,1.178759,0.406074,1832.362484,405.743140
62,1.672793,0.178802,1208.090191,117.597556
64,1.204087,0.482416,1831.716283,435.848770
66,1.323019,0.491801,1648.615624,376.675114
68,1.612787,0.585024,1342.061355,288.871608
70,1.231808,0.444147,1757.807404,379.891916
72,1.421144,0.500091,1521.291058,331.263775
74,1.421087,0.262752,1447.354573,221.231229
76,1.670821,0.648931,1310.985014,302.695198
78,1.430124,0.547636,1531.960601,358.999686
80,1.324888,0.491890,1647.736684,380.145425
82,1.367153,0.298750,1526.531645,299.449145
84,1.455295,0.500119,1480.052367,313.918329
86,1.315194,0.316700,1592.870421,305.159624
88,1.273725,0.455209,1703.040670,379.182763
90,1.229830,0.432959,1761.433583,391.831072
92,1.914554,0.643550,1121.852757,234.609510
94,1.352371,0.279519,1527.371882,239.216395
96,1.313063,0.451940,1646.251358,364.094147
98,1.509466,0.539635,1438.481926,324.943151
100,1.362815,0.478670,1592.460715,362.920173
102,1.532638,0.626970,1446.426196,355.438376
104,1.259449,0.455744,1731.578725,404.964676
106,1.336721,0.293940,1558.602069,292.008654
108,1.303915,0.475467,1671.624982,385.734549
110,1.364963,0.489921,1593.774263,366.269819
112,1.463182,0.547676,1495.687054,352.748955
114,1.628513,0.659660,1359.658873,335.792535
116,1.942884,0.825155,1145.833730,282.929297
118,1.261388,0.328496,1678.856791,370.798117
120,1.320975,0.492581,1656.533460,390.145721
122,1.291983,0.369683,1675.051035,456.243639
124,2.177420,0.761629,990.267209,210.944752
126,1.174254,0.416944,1840.670309,394.885963
128,1.581833,0.585779,1378.080642,313.995852
