#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2,10.493615,0.120228,190.616523,2.132660
4,5.342578,0.137856,374.593371,9.391629
6,3.601828,0.079648,555.538274,11.972619
8,2.745794,0.109539,729.510265,28.201822
10,2.173260,0.062260,921.014671,25.776920
12,1.822519,0.056223,1098.402163,33.080132
14,1.581431,0.069006,1266.995767,53.169347
16,1.409496,0.075199,1422.947655,75.082712
18,1.260541,0.079850,1592.705349,96.262887
20,1.175305,0.089028,1710.987666,123.114252
22,1.081425,0.059915,1854.862651,98.537828
24,0.987999,0.094182,2041.254578,178.529668
26,0.934803,0.077772,2152.443437,156.329518
28,0.912463,0.159337,2247.358480,321.343699
30,0.807739,0.096704,2508.769356,273.884323
32,0.789931,0.162880,2612.074399,394.260583
34,0.763854,0.081312,2646.521660,266.038684
36,0.747828,0.133460,2753.615897,447.643392
38,0.729966,0.092217,2781.380826,329.605308
40,0.752144,0.217841,2839.919852,636.182870
42,0.680404,0.169009,3081.108572,579.126115
44,0.703777,0.241820,3057.070805,641.423841
46,0.681603,0.089316,2984.740775,387.487782
48,0.672173,0.164243,3122.423795,609.889768
50,0.654791,0.266219,3352.265140,753.672311
52,0.815549,0.394746,2848.251101,843.489303
54,0.668998,0.232492,3262.282943,802.061117
56,0.612492,0.237214,3580.372263,836.067288
58,0.606628,0.089194,3369.294650,495.132780
60,0.623197,0.187647,3454.073412,825.500141
62,0.613314,0.064395,3297.443753,350.818020
64,0.656351,0.246059,3402.483132,980.030735
66,0.638482,0.289271,3497.528665,830.378665
68,0.952836,0.441481,2389.735900,646.186286
70,0.682969,0.193800,3119.711255,683.018647
72,0.714631,0.283219,3056.103318,666.718131
74,0.616656,0.136953,3400.917603,732.459160
76,1.006544,0.432110,2245.339055,614.971004
78,0.753861,0.272765,2857.935059,577.652453
80,0.703322,0.227171,3029.601821,586.506232
82,0.594946,0.136198,3511.195659,676.985810
84,0.791714,0.316042,2827.790727,771.967566
86,0.607132,0.077506,3344.183690,397.219595
88,0.628983,0.210717,3425.907573,745.413635
90,0.608760,0.182489,3511.277234,767.867551
92,0.913181,0.421500,2428.684325,524.199001
94,0.664415,0.187552,3172.754637,592.033260
96,0.661969,0.232909,3263.274237,700.261386
98,0.746688,0.355257,2993.752359,680.377171
100,0.843684,0.371505,2783.234203,957.624283
102,0.837095,0.352267,2626.703852,579.152419
104,0.611958,0.245126,3607.786522,867.682824
106,0.669460,0.330520,3352.902130,758.942120
108,0.741226,0.297661,3033.314462,851.173046
110,0.683739,0.281839,3221.801388,740.365926
112,0.739863,0.344412,3013.973051,686.974335
114,1.044501,0.310732,2022.991978,369.670263
116,0.986749,0.505320,2309.364682,573.076050
118,0.507413,0.069653,4018.975730,568.567580
120,0.745204,0.325537,3111.203491,1019.306736
122,0.477947,0.044826,4222.303811,403.909505
124,1.325128,0.607943,1734.007213,499.818116
126,0.552002,0.191385,3993.576754,1104.843970
128,0.943797,0.299330,2250.116228,421.159911
