#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2,22.702876,0.347417,88.114866,1.326682
4,11.629060,0.107682,171.997701,1.593620
6,7.596333,0.097753,263.327713,3.323684
8,5.905138,0.153253,338.904324,8.333735
10,4.577047,0.073958,437.076021,6.999080
12,3.936214,0.150188,508.802895,18.369175
14,3.334317,0.068820,600.074638,12.193799
16,3.075542,0.154858,651.825966,30.483108
18,2.742479,0.125473,730.727303,31.933535
20,2.585138,0.308077,782.311934,72.873615
22,2.350439,0.294182,861.213072,82.547917
24,2.206146,0.404449,928.131454,118.313248
26,2.081189,0.456900,991.726193,140.638533
28,1.963764,0.512562,1062.203662,168.789508
30,1.920311,0.471048,1081.113686,161.860862
32,1.832907,0.525521,1146.416235,194.815366
34,1.798357,0.481975,1162.505007,189.811423
36,1.729310,0.592850,1233.174767,224.818576
38,1.735169,0.564514,1223.775072,220.838555
40,1.607282,0.577824,1334.308989,252.747022
42,1.639238,0.561353,1300.867131,237.223950
44,1.544569,0.608905,1404.926015,283.682140
46,1.592392,0.591516,1356.899645,279.219558
48,1.510451,0.639189,1451.307139,306.553830
50,1.584358,0.609842,1366.257355,274.586135
52,1.475986,0.667660,1501.459760,332.479804
54,1.608817,0.635829,1351.402638,280.684686
56,1.445521,0.680282,1543.842178,350.850248
58,1.553736,0.655965,1408.867965,292.435430
60,1.391089,0.670802,1613.870159,378.396677
62,1.582890,0.635435,1380.561033,301.927818
64,1.365853,0.675782,1657.523709,409.515274
66,1.553211,0.678485,1442.541251,379.981429
68,1.422586,0.664948,1572.190417,369.550269
70,1.595220,0.670417,1389.403881,341.400431
72,1.465551,0.674014,1523.205262,358.981029
74,1.583130,0.673516,1396.430210,328.156128
76,1.648675,0.603730,1305.757203,257.865436
78,1.719629,0.644132,1254.207769,246.912717
80,1.609381,0.663778,1357.710520,284.632381
82,1.624476,0.659005,1350.155493,306.177000
84,1.628145,0.655624,1340.648485,287.218644
86,1.749029,0.631986,1228.757264,240.047424
88,1.673986,0.650708,1300.415567,281.142778
90,1.677813,0.699406,1322.653257,333.652381
92,1.681741,0.648835,1295.610404,286.772368
94,1.856023,0.592931,1142.435152,205.237305
96,1.713069,0.642483,1266.744857,274.317711
98,1.844741,0.581281,1148.627222,207.437539
100,1.751202,0.631525,1228.236976,244.050248
102,1.612850,0.718369,1400.480889,380.042633
104,1.783891,0.626855,1202.216468,235.641989
106,1.822028,0.602609,1168.433014,216.667713
108,1.827002,0.604279,1164.424916,213.220740
110,1.711600,0.654794,1268.854746,270.041362
112,1.843920,0.602432,1152.062330,208.306321
114,1.666489,0.660857,1312.043231,293.512531
116,1.899369,0.611152,1116.257038,197.997139
118,1.762575,0.660849,1225.215673,245.665234
120,1.840348,0.658188,1165.925226,224.839900
122,1.692268,0.679612,1284.411795,258.516591
124,1.871596,0.667714,1145.535724,218.233376
126,1.779548,0.614527,1201.086934,226.421157
128,1.807715,0.711801,1204.509979,256.802013
