#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2,15.752164,0.196440,126.985951,1.545430
4,11.818470,0.102805,169.239309,1.456514
6,6.535240,0.030065,306.039665,1.414325
8,4.967749,0.027291,402.608997,2.208460
10,4.483528,0.027310,446.093816,2.719955
12,3.334677,0.019041,599.777618,3.405121
14,2.880912,0.036461,694.336232,8.822147
16,2.727958,0.021866,733.195990,5.855157
18,2.268631,0.029697,881.735734,11.225381
20,2.034852,0.071210,983.979801,31.647862
22,2.003249,0.048054,998.925059,22.805634
24,1.697257,0.089978,1181.293395,55.129226
26,1.629506,0.060751,1228.958938,42.751067
28,1.476970,0.115516,1361.101647,89.303261
30,1.354626,0.089806,1482.048914,84.946212
32,1.236407,0.103060,1626.889296,111.623603
34,1.277959,0.186666,1590.841369,177.995169
36,1.190814,0.135148,1696.797795,152.605511
38,1.241615,0.352925,1692.786525,292.441303
40,1.091154,0.150192,1860.136519,198.554292
42,1.045103,0.141045,1941.846736,209.537359
44,1.019914,0.186296,2009.099638,265.488866
46,0.988807,0.173886,2071.097357,277.143664
48,0.954738,0.180898,2152.986267,308.734492
50,0.947985,0.175006,2165.517322,304.145627
52,0.920543,0.270522,2295.172496,423.664788
54,0.888579,0.216198,2351.860093,418.321372
56,0.868135,0.231197,2426.380163,466.829866
58,0.920542,0.345154,2357.891095,511.581062
60,0.841696,0.245284,2527.194949,530.171028
62,0.966884,0.440069,2301.507180,526.273445
64,0.829664,0.242723,2570.199778,554.856659
66,0.822398,0.246166,2614.656607,624.145465
68,0.821225,0.314546,2684.666291,673.301505
70,0.806215,0.270109,2705.131619,682.836318
72,0.797069,0.275520,2749.641164,707.409802
74,1.008481,0.533679,2366.606983,761.511884
76,0.778839,0.305147,2880.303807,816.669877
78,0.783597,0.273796,2819.616215,783.230519
80,0.778130,0.287773,2855.384298,788.538769
82,0.769137,0.272155,2866.221815,765.047237
84,0.757784,0.299807,2967.045352,845.880706
86,0.765064,0.321282,2980.817967,900.046413
88,0.762938,0.321491,2999.859909,927.176479
90,0.749394,0.294591,2994.958664,850.860374
92,0.737182,0.340601,3133.768413,935.392338
94,0.800463,0.410721,2920.111222,854.398554
96,0.727178,0.332720,3181.963198,967.722680
98,0.735755,0.322756,3138.012963,993.876029
100,0.761573,0.353852,3071.625003,1000.434773
102,0.746274,0.338674,3141.623946,1055.746555
104,0.719099,0.382777,3337.211377,1082.284747
106,0.725106,0.338965,3248.027434,1092.340960
108,0.699644,0.352039,3405.847947,1119.413912
110,0.724342,0.342834,3263.874524,1117.175888
112,0.720680,0.366323,3321.555266,1130.742916
114,0.757317,0.363216,3159.345162,1121.702978
116,0.726132,0.362374,3248.446783,1018.958854
118,0.681355,0.328556,3466.062828,1120.132593
120,0.680796,0.342014,3511.996552,1175.320256
122,0.701980,0.339036,3394.246009,1178.317936
124,0.739894,0.415245,3291.799151,1077.934855
126,0.698021,0.321927,3372.248612,1140.183373
128,0.675470,0.318317,3517.395797,1209.732591
