#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2,21.555291,0.116435,92.787329,0.497538
4,10.791674,0.139355,185.358221,2.336234
6,7.342317,0.102496,272.445635,3.730067
8,5.478412,0.071912,365.131191,4.716531
10,4.392443,0.058589,455.407352,5.984816
12,3.700867,0.050152,540.511045,7.171432
14,3.287215,0.063609,608.638034,11.380225
16,2.845622,0.048893,703.037193,11.826698
18,2.695550,0.060445,742.318118,15.807372
20,2.316830,0.080713,864.220656,27.916736
22,2.176475,0.115090,921.189275,42.989397
24,2.010116,0.178540,1001.405271,72.534062
26,1.866635,0.242496,1085.194095,105.981354
28,1.853380,0.265155,1095.547485,115.130431
30,1.826593,0.281333,1113.846976,122.998138
32,1.679578,0.330007,1222.060566,159.599718
34,1.616880,0.329592,1271.703199,171.054805
36,1.618353,0.367587,1277.472819,184.029444
38,1.559381,0.374748,1330.351107,199.864306
40,1.497326,0.405854,1396.254489,224.437164
42,1.526108,0.385148,1363.703721,211.946757
44,1.451103,0.410448,1446.130888,241.772668
46,1.420420,0.416764,1481.679265,253.034662
48,1.369662,0.442469,1549.196100,277.679756
50,1.370521,0.459443,1553.986684,285.028215
52,1.323958,0.484910,1624.071872,313.093352
54,1.413346,0.469934,1508.115603,283.910444
56,1.333200,0.494000,1615.743642,316.747082
58,1.342022,0.474261,1598.574293,310.987284
60,1.299003,0.518266,1673.681889,340.944862
62,1.230900,0.519279,1788.283136,396.713106
64,1.297858,0.543650,1687.080511,354.811849
66,1.236480,0.552261,1789.477040,393.320877
68,1.317107,0.525768,1657.573960,356.005773
70,1.364609,0.524219,1591.716368,335.671120
72,1.385843,0.545137,1571.322993,332.576692
74,1.416602,0.588648,1540.967440,314.415113
76,1.404155,0.529481,1540.199285,312.676172
78,1.369465,0.556570,1590.111261,323.015676
80,1.463384,0.552812,1471.771008,278.804767
82,1.404704,0.488555,1527.034807,302.460868
84,1.479649,0.486751,1441.788660,278.440383
86,1.417495,0.517276,1522.148369,311.638974
88,1.408917,0.538726,1533.531371,301.617773
90,1.422471,0.541957,1518.142941,298.036611
92,1.429007,0.548413,1515.661547,308.030691
94,1.411473,0.534451,1534.421625,316.145565
96,1.396586,0.601746,1571.738612,328.536732
98,1.409601,0.531664,1536.053799,316.841511
100,1.400410,0.589876,1563.915751,327.440894
102,1.364874,0.537642,1593.876624,332.791391
104,1.351155,0.562289,1629.171975,366.856931
106,1.410230,0.631394,1568.009920,341.821681
108,1.414078,0.562236,1536.274987,310.808774
110,1.397147,0.537789,1549.780087,312.216435
112,1.372741,0.554602,1589.350032,334.553765
114,1.426780,0.592607,1530.175837,313.559456
116,1.381215,0.615400,1595.524854,334.737351
118,1.362843,0.556681,1604.848296,343.647417
120,1.389150,0.583536,1575.184039,327.106577
122,1.339810,0.641141,1665.510742,367.014195
124,1.309067,0.583599,1693.429268,380.557003
126,1.349003,0.619522,1643.332572,355.598791
128,1.372675,0.654816,1627.928584,366.105341
