#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
2,10.475378,0.079862,190.934856,1.438224
4,5.357766,0.083435,373.378612,5.696542
6,3.612935,0.064259,553.738600,9.674747
8,2.725644,0.048444,733.998473,12.770509
10,2.164265,0.039573,924.403900,16.559797
12,1.858099,0.030279,1076.651172,17.315171
14,1.619358,0.036328,1235.655437,26.657113
16,1.396601,0.046874,1433.568676,45.314817
18,1.295535,0.071478,1547.953096,75.993153
20,1.194166,0.130844,1690.720468,145.437236
22,1.174008,0.151285,1725.206257,168.261352
24,1.072241,0.195039,1908.675778,239.677833
26,1.016651,0.237952,2037.464913,301.514695
28,1.071366,0.245500,1930.832795,280.815590
30,1.059838,0.266417,1963.464386,306.208154
32,0.833123,0.207186,2500.581705,406.413656
34,0.860762,0.199034,2408.480564,370.932678
36,0.855506,0.224866,2444.593805,411.461702
38,0.821959,0.236867,2563.664189,459.590451
40,0.774195,0.248982,2751.515569,531.512903
42,0.813228,0.243076,2597.532268,468.613902
44,0.765261,0.277376,2818.462628,576.938623
46,0.738894,0.310405,2975.513724,655.689322
48,0.727565,0.306260,3041.306873,712.096974
50,0.703817,0.299740,3142.896022,726.341160
52,0.704664,0.314225,3159.496493,743.988547
54,0.729878,0.316944,3039.033764,708.570621
56,0.715790,0.332001,3120.265954,725.392511
58,0.694513,0.296114,3191.694701,753.655081
60,0.731140,0.315810,3040.350445,729.354932
62,0.681908,0.319496,3300.731808,815.397013
64,0.648039,0.316145,3444.550387,737.716731
66,0.727989,0.366809,3179.967823,885.825157
68,0.717082,0.314900,3101.240636,731.331038
70,0.715038,0.381262,3195.857924,776.323078
72,0.731453,0.323154,3070.203825,795.732046
74,0.782112,0.363831,2850.508685,648.560867
76,0.792537,0.364516,2867.713835,763.908908
78,0.791347,0.407536,2961.485166,875.423294
80,0.755090,0.372047,3010.088689,766.132351
82,0.833262,0.390384,2760.714349,794.649139
84,0.762075,0.330433,2930.715501,744.952259
86,0.798848,0.351701,2865.070481,848.244269
88,0.746996,0.346749,3019.291437,771.474489
90,0.772904,0.341165,2882.440462,690.157154
92,0.739551,0.338561,3051.903724,791.634520
94,0.743544,0.365210,3075.836542,826.632229
96,0.763972,0.373326,3002.190261,809.571882
98,0.770880,0.338257,2913.090743,770.244698
100,0.763300,0.350072,3023.700935,918.913355
102,0.759061,0.341582,2974.133289,793.908438
104,0.740585,0.373458,3125.464971,882.077996
106,0.766604,0.340623,2945.045914,803.394641
108,0.718124,0.360997,3225.334684,927.891138
110,0.743735,0.344725,3053.620312,829.928465
112,0.752413,0.392405,3147.059857,962.637805
114,0.765931,0.404362,3124.304646,995.282617
116,0.802522,0.422881,2980.070719,952.406896
118,0.747645,0.420575,3269.752583,1082.158688
120,0.734498,0.349568,3145.867812,933.514311
122,0.775811,0.400962,3075.075431,991.149330
124,0.753919,0.389757,3142.517867,981.467564
126,0.765865,0.432884,3192.573781,1049.741994
128,0.724322,0.482930,3357.163034,945.519626
