#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,14.655656,0.008390,136.466132,0.078045
1,14.526277,0.026776,137.681992,0.252638
2,7.701497,0.405688,260.348766,12.528497
3,5.128068,0.227161,390.735415,16.373572
4,3.851350,0.193663,520.540690,24.720589
5,3.056285,0.132025,655.547979,26.831927
6,2.577126,0.115643,777.609683,34.586330
7,2.242054,0.094389,893.591886,36.905167
8,1.938878,0.082067,1033.323890,42.540013
9,1.742674,0.070275,1149.501904,45.652563
10,1.572750,0.071869,1274.243182,56.615858
11,1.415471,0.055098,1415.072227,54.388267
12,1.331229,0.052332,1504.677058,58.691010
13,1.200645,0.044022,1667.973206,60.091619
14,1.135751,0.049354,1764.272227,76.528775
15,1.056643,0.054907,1897.797773,96.517797
16,1.001655,0.052929,2002.151675,103.341317
17,0.946368,0.047155,2118.478031,103.172914
18,0.907289,0.052310,2211.815567,129.206345
19,0.850328,0.042197,2357.809926,116.558954
20,0.836056,0.049951,2400.574831,140.654087
21,0.774664,0.034021,2586.884850,116.639121
22,0.764273,0.034446,2622.309363,120.850871
23,0.729639,0.032432,2746.486385,121.658173
24,0.693013,0.027934,2890.691030,117.677175
