#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,30.904981,0.008161,64.714491,0.017094
1,30.397738,0.112439,65.795263,0.241431
2,15.498380,0.209807,129.069132,1.727516
3,10.363213,0.103673,193.009655,1.930757
4,7.815692,0.097583,255.935218,3.186203
5,6.421465,0.303110,312.093086,13.518391
6,5.262902,0.070547,380.086523,5.075061
7,4.621633,0.196327,433.475384,17.148808
8,4.218026,0.144265,474.705335,16.087068
9,3.907761,0.171498,512.746422,21.534114
10,3.451535,0.139697,580.367285,22.622511
11,3.049936,0.091303,656.315530,18.850455
12,2.699433,0.028508,740.978013,7.724474
13,2.735980,0.022076,731.046908,5.869722
14,2.485823,0.113754,806.169996,35.151558
15,2.299259,0.120614,872.132889,43.629098
16,2.250657,0.152995,892.459840,56.411041
17,2.239628,0.122861,895.582232,47.025604
18,2.041804,0.097828,981.740547,46.259597
19,2.013106,0.106492,996.140092,50.148571
20,1.853781,0.134981,1084.163224,72.739389
21,1.730037,0.084781,1158.785361,55.973237
22,1.755129,0.237292,1156.456493,126.420688
23,1.767228,0.137976,1138.082375,81.812366
24,1.645653,0.034687,1215.859832,25.461407
