#cores,time_mean(s),time_sd,GFLOPS_mean,GFLOPS_sd
1,16.058750,0.005977,124.542714,0.046348
1,15.777901,0.046956,126.760692,0.374501
2,8.191316,0.136950,244.229018,4.067958
3,5.452822,0.079193,366.859836,5.322504
4,4.164613,0.081076,480.415050,9.162626
5,3.485152,0.166885,575.098649,25.821225
6,2.799845,0.041523,714.482995,10.631518
7,2.449873,0.106202,817.800738,33.065390
8,2.272155,0.101397,881.870198,36.977959
9,2.108025,0.109066,951.061830,44.640440
10,1.808006,0.046800,1106.922743,28.274853
11,1.609703,0.036608,1243.093040,27.626398
12,1.464713,0.012806,1365.559565,11.960418
13,1.465044,0.015579,1365.300218,14.399378
14,1.307929,0.049865,1531.338484,57.798419
15,1.202418,0.063056,1667.657163,82.850417
16,1.213353,0.053630,1651.484496,71.551316
17,1.214639,0.053951,1649.787029,72.255348
18,1.139658,0.057962,1759.320729,86.785489
19,1.137592,0.055083,1762.090226,82.514128
20,0.995167,0.061848,2017.222332,120.917611
21,0.888542,0.047074,2257.276611,120.896556
22,0.905187,0.080490,2226.292183,189.833104
23,0.900802,0.077614,2236.053572,184.339303
24,0.911639,0.044545,2199.072887,106.980164
